2026-08-13 00:54:26,717 | INFO | TemporaryDirectory.cleanup() worked.
2026-08-13 00:54:26,717 | INFO | shutil.rmtree worked.
2026-08-13 00:54:26,717 | INFO | TemporaryDirectory.cleanup() worked.
2026-08-13 00:54:26,717 | INFO | shutil.rmtree worked.
2026-08-13 00:54:26,778 | INFO | Chromium init'ed with kwargs {}
2026-08-13 00:54:26,778 | INFO | Found chromium path: C:\Program Files\Google\Chrome\Application\chrome.exe
2026-08-13 00:54:26,778 | INFO | Temp directory created: C:\Users\ANIRBA~1\AppData\Local\Temp\tmpxrydle0m.
2026-08-13 00:54:26,778 | INFO | Opening browser.
2026-08-13 00:54:26,794 | INFO | Temp directory created: C:\Users\ANIRBA~1\AppData\Local\Temp\tmp6h8yr1pt.
2026-08-13 00:54:26,794 | INFO | Temporary directory at: C:\Users\ANIRBA~1\AppData\Local\Temp\tmp6h8yr1pt
2026-08-13 00:54:27,229 | INFO | Conforming 1 to file:///C:/Users/ANIRBA~1/AppData/Local/Temp/tmpxrydle0m/index.html
2026-08-13 00:54:28,453 | INFO | Getting tab from queue (has 1)
2026-08-13 00:54:28,453 | INFO | Got 212B
2026-08-13 00:54:28,642 | INFO | Reloading tab 212B before return.
2026-08-13 00:54:28,730 | INFO | Putting tab 212B back (queue size: 0).
2026-08-13 00:54:28,730 | INFO | Waiting for all cleanups to finish.
2026-08-13 00:54:28,731 | INFO | Exiting Kaleido.
2026-08-13 00:54:28,732 | INFO | TemporaryDirectory.cleanup() worked.
2026-08-13 00:54:28,732 | INFO | shutil.rmtree worked.
2026-08-13 00:54:28,732 | INFO | Closing browser.
2026-08-13 00:54:28,763 | INFO | TemporaryDirectory.cleanup() worked.
2026-08-13 00:54:28,763 | INFO | shutil.rmtree worked.
2026-08-13 00:54:28,763 | INFO | Closing browser.
2026-08-13 00:54:28,763 | INFO | Cancelling tasks.
2026-08-13 00:54:28,763 | INFO | Exiting Kaleido/Choreo.
2026-08-13 00:54:28,953 | INFO | TemporaryDirectory.cleanup() worked.
2026-08-13 00:54:28,953 | INFO | shutil.rmtree worked.
2026-08-13 00:54:28,953 | INFO | Cancelling tasks.
2026-08-13 00:54:28,953 | INFO | Exiting Kaleido/Choreo.
2026-08-13 00:54:28,953 | INFO | Protein existence pie chart saved.
2026-08-13 00:54:28,953 | INFO | Creating Top 20 Protein Names Bar Chart.
2026-08-13 00:54:28,991 | INFO | Chromium init'ed with kwargs {}
2026-08-13 00:54:28,992 | INFO | Found chromium path: C:\Program Files\Google\Chrome\Application\chrome.exe
2026-08-13 00:54:28,993 | INFO | Temp directory created: C:\Users\ANIRBA~1\AppData\Local\Temp\tmp6dd7v11j.
2026-08-13 00:54:28,994 | INFO | Opening browser.
